Timestamp,Customer_ID,Dwell_Time_Seconds
2026-05-30 16:14:23,1,20.93
2026-05-30 16:14:23,2,38.95
2026-05-30 16:14:23,3,69.5
2026-05-30 16:14:23,4,7.48
2026-05-30 16:14:23,6,3.59
2026-05-30 16:14:23,7,3.67
2026-05-30 16:14:23,8,20.01
2026-05-30 16:14:23,10,1.76
2026-05-30 16:14:23,9,2.44
2026-05-30 16:14:23,12,1.3
2026-05-30 16:14:23,11,0.31
2026-05-30 16:14:23,13,6.19
2026-05-30 16:14:23,14,0.46
2026-05-30 16:14:23,16,0.08
2026-05-30 16:14:23,17,4.58
2026-05-30 16:14:23,18,0.99
2026-05-30 16:14:23,19,0.61
2026-05-30 16:14:23,20,9.85
2026-05-30 16:14:23,21,0.61
2026-05-30 16:14:23,25,1.91
2026-05-30 16:14:23,26,0.08
2026-05-30 16:14:23,27,0.61
2026-05-30 16:14:23,28,0.08
2026-05-30 16:14:23,29,1.6
2026-05-30 16:14:23,33,14.05
2026-05-30 16:14:23,34,4.58
2026-05-30 16:14:23,35,2.9
2026-05-30 16:14:23,36,4.2
2026-05-30 16:14:23,37,0.15
2026-05-30 16:14:23,40,3.67
2026-05-30 16:14:23,41,4.12
2026-05-30 16:14:23,42,0.53
2026-05-30 16:14:23,43,0.76
2026-05-30 16:14:23,44,2.21
2026-05-30 16:14:23,45,9.93
2026-05-30 16:14:23,48,2.29
2026-05-30 16:14:23,49,2.83
2026-05-30 16:14:23,52,25.74
2026-05-30 16:14:23,53,5.5
2026-05-30 16:14:23,54,19.4
2026-05-30 16:14:23,55,1.91
2026-05-30 16:14:23,56,3.97
2026-05-30 16:14:23,57,0.23
2026-05-30 16:14:23,58,14.13
2026-05-30 16:14:23,59,1.3
2026-05-30 16:14:23,60,0.92
2026-05-30 16:14:23,61,6.95
2026-05-30 16:14:23,62,0.15
2026-05-30 16:14:23,63,0.46
2026-05-30 16:14:23,64,9.55
2026-05-30 16:14:23,65,0.08
2026-05-30 16:14:23,66,18.25
2026-05-30 16:14:23,67,16.88
2026-05-30 16:14:23,68,6.34
2026-05-30 16:14:23,69,2.21
2026-05-30 16:14:23,70,0.61
2026-05-30 16:14:23,71,1.83
2026-05-30 16:14:23,72,2.6
2026-05-30 16:14:23,74,0.23
2026-05-30 16:14:23,75,20.09
2026-05-30 16:14:23,76,0.31
2026-05-30 16:14:23,77,2.75
2026-05-30 16:14:23,78,0.38
2026-05-30 16:14:23,79,3.28
2026-05-30 16:14:23,81,1.99
2026-05-30 16:14:23,80,0.23
2026-05-30 16:14:23,82,6.8
2026-05-30 16:14:23,85,0.53
2026-05-30 16:14:23,86,24.14
2026-05-30 16:14:23,87,1.45
2026-05-30 16:14:23,88,2.83
2026-05-30 16:14:23,89,0.08
2026-05-30 16:14:23,90,8.17
2026-05-30 16:14:23,91,0.15
2026-05-30 16:14:23,92,21.16
2026-05-30 16:14:23,93,4.66
2026-05-30 16:14:23,94,0.69
2026-05-30 16:14:23,95,0.31
2026-05-30 16:14:23,96,27.8
2026-05-30 16:14:23,97,0.92
2026-05-30 16:14:23,98,28.41
2026-05-30 16:14:23,99,5.88
2026-05-30 16:14:23,100,1.6
2026-05-30 16:14:23,101,1.07
2026-05-30 16:14:23,102,4.81
2026-05-30 16:14:23,103,1.83
2026-05-30 16:14:23,104,0.08
2026-05-30 16:14:23,105,5.27
2026-05-30 16:14:23,106,0.46
2026-05-30 16:14:23,107,1.22
2026-05-30 16:14:23,108,1.68
2026-05-30 16:14:23,109,4.43
2026-05-30 16:14:23,110,1.83
2026-05-30 16:14:23,112,0.61
2026-05-30 16:14:23,114,13.37
2026-05-30 16:14:23,115,0.53
2026-05-30 16:14:23,116,1.99
2026-05-30 16:14:23,117,8.4
2026-05-30 16:14:23,118,0.23
2026-05-30 16:14:23,119,0.46
2026-05-30 16:14:23,120,0.61
2026-05-30 16:14:23,121,1.15
2026-05-30 16:14:23,122,0.23
2026-05-30 16:14:23,123,11.23
2026-05-30 16:14:23,124,2.6
2026-05-30 16:14:23,126,0.08
2026-05-30 16:14:23,127,3.74
2026-05-30 16:14:23,130,0.46
2026-05-30 16:14:23,131,0.38
